TeamNumber,TeamName,MatchNumber,AllianceColor,AutonomousSkystoneDeliver,AutonomousStoneDeliver,AutonomousFoundationMoved,AutonomousParked,TeleOpGlyphStonePlaced,TeleOpGlyphStoneDelivered,EndGameCapstone,EndGameCapstoneLevels,EndGameFoundationMoved,EndGameParking,ExtrasRobotScoringEffeciencyTransportingStones,ExtrasRobotScoringEffeciencyPlacingStones,ExtrasRobotSpeed,ExtrasRobotProblemsConnections,ExtrasRobotProblemsMechanical,ExtrasComments
10107,A League Of Their Own,1,Red,No Attempt,0,No Attempt,0,No Attempt,2,2,1,0,1,1,so-so,good,medium,yes,yes,
10107,A League Of Their Own,1,Red,Attempted,0,Attempted,0,Parked,3,3,1,3,1,1,good,good,medium,,,
10107,A League Of Their Own,4,Red,No Attempt,0,Achieved,0,Parked,2,2,1,3,1,1,so-so,good,medium,,,
10107,A League Of Their Own,5,Red,No Attempt,0,No Attempt,0,Parked,3,3,1,1,1,1,so-so,so-so,fast,,,
10107,A League Of Their Own,7,Red,No Attempt,0,No Attempt,0,No Attempt,2,2,1,4,0,0,good,good,fast,,,4 stones pls capstone


10107,A League Of Their Own,9,Red,No Attempt,0,Achieved,0,Attempted,3,3,0,0,1,1,so-so,so-so,slow,,,
10107,A League Of Their Own,14,Blue,1,0,No Attempt,0,Parked,1,2,0,0,0,0,so-so,so-so,medium,,,
10107,A League Of Their Own,18,Red,Attempted,0,Attempted,0,No Attempt,1,1,1,4,1,0,good,good,medium,,,
10107,A League Of Their Own,23,Blue,No Attempt,0,Achieved,0,Parked,1,1,1,3,1,1,so-so,good,medium,,,
